date,name,std_error
2021-06-09,pct_covid,0.009176
2021-06-10,pct_covid,0.005544
2021-06-11,pct_covid,0.001419
2021-06-12,pct_covid,0.006732
2021-06-13,pct_covid,0.006267
2021-06-14,pct_covid,0.005322
2021-06-15,pct_covid,0.004783
2021-06-16,pct_covid,0.00426
2021-06-17,pct_covid,0.002538
2021-06-18,pct_covid,0.009483
2021-06-19,pct_covid,0
2021-06-20,pct_covid,0.007167
2021-06-21,pct_covid,0.054285
2021-06-22,pct_covid,0.008781
2021-06-23,pct_covid,0.003051
2021-06-24,pct_covid,0
2021-06-25,pct_covid,0.019808
2021-06-26,pct_covid,0.008903
2021-06-27,pct_covid,0
2021-06-28,pct_covid,0.001861
2021-06-29,pct_covid,0.001929
2021-06-30,pct_covid,0.004003
2021-07-01,pct_covid,0
2021-07-02,pct_covid,0.010805
2021-07-03,pct_covid,0.002848
2021-07-04,pct_covid,0.001099
2021-07-05,pct_covid,0.049603
2021-07-06,pct_covid,0.003502
2021-07-07,pct_covid,0.001371
2021-07-08,pct_covid,0
2021-07-09,pct_covid,0.004541
2021-07-10,pct_covid,0.006466
2021-07-11,pct_covid,0.032983
2021-07-12,pct_covid,0
2021-07-13,pct_covid,0.001318
2021-07-14,pct_covid,0.00394
2021-07-15,pct_covid,0.006846
2021-07-16,pct_covid,0.005404
2021-07-17,pct_covid,0.010799
2021-07-18,pct_covid,0
2021-07-19,pct_covid,0
2021-07-20,pct_covid,0.003354
2021-07-21,pct_covid,0.002368
2021-07-22,pct_covid,0.003028
2021-07-23,pct_covid,0.011917
2021-07-24,pct_covid,0.003795
2021-07-25,pct_covid,0.003764
2021-07-26,pct_covid,0.002644
2021-07-27,pct_covid,0.006682
2021-07-28,pct_covid,0.030797
2021-07-29,pct_covid,0.003823
2021-07-30,pct_covid,0.003975
2021-07-31,pct_covid,0.006041
2021-08-01,pct_covid,0
2021-08-02,pct_covid,0.003126
2021-08-03,pct_covid,0.010743
2021-08-04,pct_covid,0.00735
2021-08-05,pct_covid,0.004304
2021-08-06,pct_covid,0.002005
2021-08-07,pct_covid,0.001679
2021-08-08,pct_covid,0.007276
2021-08-09,pct_covid,0.002295
2021-08-10,pct_covid,0.004405
2021-08-11,pct_covid,0.006679
2021-08-12,pct_covid,0.003331
2021-08-13,pct_covid,0.065803
2021-08-14,pct_covid,0.011299
2021-08-15,pct_covid,0.007362
2021-08-16,pct_covid,0.008205
2021-08-17,pct_covid,0.011974
2021-08-18,pct_covid,0.005535
2021-08-19,pct_covid,0.004175
2021-08-20,pct_covid,0.009788
2021-08-21,pct_covid,0.001468
2021-08-22,pct_covid,0.013642
2021-08-23,pct_covid,0.006576
2021-08-24,pct_covid,0.008966
2021-08-25,pct_covid,0.005029
2021-08-26,pct_covid,0.008955
2021-08-27,pct_covid,0.013073
2021-08-28,pct_covid,0.009597
2021-08-29,pct_covid,0.010174
2021-08-30,pct_covid,0.011521
2021-08-31,pct_covid,0.010105
2021-09-01,pct_covid,0.010462
2021-09-02,pct_covid,0.002988
