date,name,std_error
2021-06-09,pct_covid_unw,0.006899
2021-06-10,pct_covid_unw,0.005025
2021-06-11,pct_covid_unw,0.002663
2021-06-12,pct_covid_unw,0.004637
2021-06-13,pct_covid_unw,0.005317
2021-06-14,pct_covid_unw,0.00243
2021-06-15,pct_covid_unw,0.004413
2021-06-16,pct_covid_unw,0.0049
2021-06-17,pct_covid_unw,0.003044
2021-06-18,pct_covid_unw,0.007325
2021-06-19,pct_covid_unw,0
2021-06-20,pct_covid_unw,0.006172
2021-06-21,pct_covid_unw,0.006872
2021-06-22,pct_covid_unw,0.005783
2021-06-23,pct_covid_unw,0.004962
2021-06-24,pct_covid_unw,0
2021-06-25,pct_covid_unw,0.007386
2021-06-26,pct_covid_unw,0.004945
2021-06-27,pct_covid_unw,0
2021-06-28,pct_covid_unw,0.002328
2021-06-29,pct_covid_unw,0.002959
2021-06-30,pct_covid_unw,0.003281
2021-07-01,pct_covid_unw,0
2021-07-02,pct_covid_unw,0.003828
2021-07-03,pct_covid_unw,0.003214
2021-07-04,pct_covid_unw,0.002134
2021-07-05,pct_covid_unw,0.003769
2021-07-06,pct_covid_unw,0.004283
2021-07-07,pct_covid_unw,0.002965
2021-07-08,pct_covid_unw,0
2021-07-09,pct_covid_unw,0.002312
2021-07-10,pct_covid_unw,0.003986
2021-07-11,pct_covid_unw,0.003488
2021-07-12,pct_covid_unw,0
2021-07-13,pct_covid_unw,0.002245
2021-07-14,pct_covid_unw,0.003643
2021-07-15,pct_covid_unw,0.003923
2021-07-16,pct_covid_unw,0.004577
2021-07-17,pct_covid_unw,0.003713
2021-07-18,pct_covid_unw,0
2021-07-19,pct_covid_unw,0
2021-07-20,pct_covid_unw,0.004423
2021-07-21,pct_covid_unw,0.003328
2021-07-22,pct_covid_unw,0.004107
2021-07-23,pct_covid_unw,0.004406
2021-07-24,pct_covid_unw,0.002869
2021-07-25,pct_covid_unw,0.002064
2021-07-26,pct_covid_unw,0.00194
2021-07-27,pct_covid_unw,0.004183
2021-07-28,pct_covid_unw,0.004788
2021-07-29,pct_covid_unw,0.002451
2021-07-30,pct_covid_unw,0.004504
2021-07-31,pct_covid_unw,0.004596
2021-08-01,pct_covid_unw,0
2021-08-02,pct_covid_unw,0.003234
2021-08-03,pct_covid_unw,0.003724
2021-08-04,pct_covid_unw,0.005112
2021-08-05,pct_covid_unw,0.003824
2021-08-06,pct_covid_unw,0.002121
2021-08-07,pct_covid_unw,0.002977
2021-08-08,pct_covid_unw,0.004025
2021-08-09,pct_covid_unw,0.00324
2021-08-10,pct_covid_unw,0.004107
2021-08-11,pct_covid_unw,0.005073
2021-08-12,pct_covid_unw,0.004191
2021-08-13,pct_covid_unw,0.00421
2021-08-14,pct_covid_unw,0.004486
2021-08-15,pct_covid_unw,0.003433
2021-08-16,pct_covid_unw,0.004653
2021-08-17,pct_covid_unw,0.003413
2021-08-18,pct_covid_unw,0.005302
2021-08-19,pct_covid_unw,0.005199
2021-08-20,pct_covid_unw,0.004604
2021-08-21,pct_covid_unw,0.002014
2021-08-22,pct_covid_unw,0.007145
2021-08-23,pct_covid_unw,0.00486
2021-08-24,pct_covid_unw,0.004978
2021-08-25,pct_covid_unw,0.004459
2021-08-26,pct_covid_unw,0.005408
